Level_1_Name,Level_1_ID,Level_2_Name,Level_2_ID,Level_3_Name,Level_3_ID,Level_4_Name,Level_4_ID,Level_5_Name,Level_5_ID
TÀI SẢN,,A- TÀI SẢN NGẮN HẠN,100,A- TÀI SẢN NGẮN HẠN,100,A- TÀI SẢN NGẮN HẠN,100,A- TÀI SẢN NGẮN HẠN,100
TÀI SẢN,,A- TÀI SẢN NGẮN HẠN,100,I. Tiền và các khoản tương đương tiền,110,I. Tiền và các khoản tương đương tiền,110,I. Tiền và các khoản tương đương tiền,110
TÀI SẢN,,A- TÀI SẢN NGẮN HẠN,100,I. Tiền và các khoản tương đương tiền,110,1. Tiền,111,1. Tiền,111
TÀI SẢN,,A- TÀI SẢN NGẮN HẠN,100,I. Tiền và các khoản tương đương tiền,110,2. Các khoản tương đương tiền,112,2. Các khoản tương đương tiền,112
TÀI SẢN,,A- TÀI SẢN NGẮN HẠN,100,II. Đầu tư tài chính ngắn hạn,120,1. Chứng khoán kinh doanh,120,II. Đầu tư tài chính ngắn hạn,120
TÀI SẢN,,A- TÀI SẢN NGẮN HẠN,100,II. Đầu tư tài chính ngắn hạn,120,1. Chứng khoán kinh doanh,121,1. Chứng khoán kinh doanh,121
TÀI SẢN,,A- TÀI SẢN NGẮN HẠN,100,II. Đầu tư tài chính ngắn hạn,120,2. Dự phòng giảm giá chứng khoán kinh doanh (*),122,2. Dự phòng giảm giá chứng khoán kinh doanh (*),122
TÀI SẢN,,A- TÀI SẢN NGẮN HẠN,100,II. Đầu tư tài chính ngắn hạn,120,3. Đầu tư nắm giữ đến ngày đáo hạn,123,3. Đầu tư nắm giữ đến ngày đáo hạn,123
TÀI SẢN,,A- TÀI SẢN NGẮN HẠN,100,III. Các khoản phải thu ngắn hạn,130,III. Các khoản phải thu ngắn hạn,130,III. Các khoản phải thu ngắn hạn,130
TÀI SẢN,,A- TÀI SẢN NGẮN HẠN,100,III. Các khoản phải thu ngắn hạn,130,1. Phải thu ngắn hạn của khách hàng,131,1. Phải thu ngắn hạn của khách hàng,131
TÀI SẢN,,A- TÀI SẢN NGẮN HẠN,100,III. Các khoản phải thu ngắn hạn,130,2. Trả trước cho người bán ngắn hạn,132,2. Trả trước cho người bán ngắn hạn,132
TÀI SẢN,,A- TÀI SẢN NGẮN HẠN,100,III. Các khoản phải thu ngắn hạn,130,3. Phải thu nội bộ ngắn hạn,133,3. Phải thu nội bộ ngắn hạn,133
TÀI SẢN,,A- TÀI SẢN NGẮN HẠN,100,III. Các khoản phải thu ngắn hạn,130,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134
TÀI SẢN,,A- TÀI SẢN NGẮN HẠN,100,III. Các khoản phải thu ngắn hạn,130,5. Phải thu về cho vay ngắn hạn,135,5. Phải thu về cho vay ngắn hạn,135
TÀI SẢN,,A- TÀI SẢN NGẮN HẠN,100,III. Các khoản phải thu ngắn hạn,130,6. Phải thu ngắn hạn khác,136,6. Phải thu ngắn hạn khác,136
TÀI SẢN,,A- TÀI SẢN NGẮN HẠN,100,III. Các khoản phải thu ngắn hạn,130,7. Dự phòng phải thu ngắn hạn khó đòi (*),137,7. Dự phòng phải thu ngắn hạn khó đòi (*),137
TÀI SẢN,,A- TÀI SẢN NGẮN HẠN,100,III. Các khoản phải thu ngắn hạn,130,8. Tài sản Thiếu chờ xử lý,139,8. Tài sản Thiếu chờ xử lý,139
TÀI SẢN,,A- TÀI SẢN NGẮN HẠN,100,IV. Hàng tồn kho,140,IV. Hàng tồn kho,140,IV. Hàng tồn kho,140
TÀI SẢN,,A- TÀI SẢN NGẮN HẠN,100,IV. Hàng tồn kho,140,1. Hàng tồn kho,141,1. Hàng tồn kho,141
TÀI SẢN,,A- TÀI SẢN NGẮN HẠN,100,IV. Hàng tồn kho,140,2. Dự phòng giảm giá hàng tồn kho (*),149,2. Dự phòng giảm giá hàng tồn kho (*),149
TÀI SẢN,,A- TÀI SẢN NGẮN HẠN,100,V.Tài sản ngắn hạn khác,150,V.Tài sản ngắn hạn khác,150,V.Tài sản ngắn hạn khác,150
TÀI SẢN,,A- TÀI SẢN NGẮN HẠN,100,V.Tài sản ngắn hạn khác,150,1. Chi phí trả trước ngắn hạn,151,1. Chi phí trả trước ngắn hạn,151
TÀI SẢN,,A- TÀI SẢN NGẮN HẠN,100,V.Tài sản ngắn hạn khác,150,2. Thuế GTGT được khấu trừ,152,2. Thuế GTGT được khấu trừ,152
TÀI SẢN,,A- TÀI SẢN NGẮN HẠN,100,V.Tài sản ngắn hạn khác,150,3. Thuế và các khoản khác phải thu Nhà nước,153,3. Thuế và các khoản khác phải thu Nhà nước,153
TÀI SẢN,,A- TÀI SẢN NGẮN HẠN,100,V.Tài sản ngắn hạn khác,150,4. Giao dịch mua bán lại trái phiếu Chính phủ,154,4. Giao dịch mua bán lại trái phiếu Chính phủ,154
TÀI SẢN,,A- TÀI SẢN NGẮN HẠN,100,V.Tài sản ngắn hạn khác,150,5. Tài sản ngắn hạn khác,155,5. Tài sản ngắn hạn khác,155
TÀI SẢN,,B. TÀI SẢN DÀI HẠN,200,B. TÀI SẢN DÀI HẠN,200,B. TÀI SẢN DÀI HẠN,200,B. TÀI SẢN DÀI HẠN,200
TÀI SẢN,,B. TÀI SẢN DÀI HẠN,200,I. Các khoản phải thu dài hạn,210,I. Các khoản phải thu dài hạn,210,I. Các khoản phải thu dài hạn,210
