COMPANY_ID,ID,VALUE,DATE_ID
aav,01,8230000000,20190331
aav,02,874000000,20190331
aav,05,-120000000,20190331
aav,06,646000000,20190331
aav,08,9630000000,20190331
aav,09,-27000000000,20190331
aav,10,-5400000000,20190331
aav,11,19500000000,20190331
aav,12,243000000,20190331
aav,14,-660000000,20190331
aav,15,-7200000000,20190331
aav,20,-11000000000,20190331
aav,21,-650000000,20190331
aav,27,23991679,20190331
aav,30,-620000000,20190331
aav,31,-45000000,20190331
aav,33,21500000000,20190331
aav,34,-23000000000,20190331
aav,40,-1300000000,20190331
aav,50,-13000000000,20190331
aav,60,19700000000,20190331
aav,70,6500000000,20190331
aav,01,5800000000,20200331
aav,02,1890000000,20200331
aav,05,-560000000,20200331
aav,06,1170000000,20200331
aav,08,8300000000,20200331
aav,09,-21000000000,20200331
aav,10,-5500000000,20200331
aav,11,-1400000000,20200331
aav,12,87192273,20200331
aav,14,-1200000000,20200331
aav,15,-2800000000,20200331
aav,20,-23000000000,20200331
aav,27,59875774,20200331
aav,30,59875774,20200331
aav,33,32900000000,20200331
aav,34,-27000000000,20200331
aav,50,-17000000000,20200331
aav,60,19800000000,20200331
aav,70,2600000000,20200331
aav,01,7130000000,20210331
aav,02,1860000000,20210331
aav,03,-660000000,20210331
aav,05,-670000000,20210331
aav,06,909000000,20210331
aav,08,8570000000,20210331
aav,09,5120000000,20210331
aav,10,58415647,20210331
aav,11,2180000000,20210331
aav,12,37381156,20210331
aav,14,-910000000,20210331
aav,15,-3000000000,20210331
aav,20,12100000000,20210331
aav,21,-7500000000,20210331
aav,27,2530000000,20210331
aav,30,-5000000000,20210331
aav,33,35500000000,20210331
aav,34,-39000000000,20210331
aav,36,-2400000000,20210331
aav,40,-6100000000,20210331
aav,50,946000000,20210331
aav,60,3020000000,20210331
aav,70,3970000000,20210331
aav,01,1200000000,20220331
aav,02,2640000000,20220331
aav,05,-490000000,20220331
aav,06,767000000,20220331
aav,08,4120000000,20220331
aav,09,-31000000000,20220331
aav,10,-130000000,20220331
aav,11,13700000000,20220331
aav,12,-220000000,20220331
aav,14,-830000000,20220331
aav,15,-180000000,20220331
aav,20,-14000000000,20220331
aav,27,494000000,20220331
aav,30,494000000,20220331
aav,33,57900000000,20220331
aav,34,-43000000000,20220331
aav,40,15400000000,20220331
aav,50,1450000000,20220331
aav,60,2210000000,20220331
aav,70,3660000000,20220331
aav,01,-3300000000,20230331
aav,02,2650000000,20230331
aav,05,-930000000,20230331
aav,06,2510000000,20230331
aav,08,959000000,20230331
aav,09,15700000000,20230331
aav,10,-190730,20230331
aav,11,-14000000000,20230331
aav,12,12800000000,20230331
aav,14,-2500000000,20230331
aav,15,-450000000,20230331
aav,20,12800000000,20230331
aav,23,-13000000000,20230331
aav,24,4000000000,20230331
aav,27,40932565,20230331
aav,30,-9400000000,20230331
aav,33,77400000000,20230331
aav,34,-77000000000,20230331
aav,40,8477586,20230331
aav,50,3390000000,20230331
aav,60,2440000000,20230331
aav,70,5840000000,20230331
aav,01,19300000000,20190630
aav,02,1760000000,20190630
aav,05,-1300000000,20190630
aav,06,1960000000,20190630
aav,08,21800000000,20190630
aav,09,-110000000000,20190630
aav,10,-86000000,20190630
aav,11,-2900000000,20190630
aav,12,430000000,20190630
aav,14,-1900000000,20190630
aav,15,-6800000000,20190630
aav,20,-96000000000,20190630
aav,21,-1300000000,20190630
aav,25,-80000000000,20190630
aav,27,1090000000,20190630
aav,30,-80000000000,20190630
aav,31,175000000000,20190630
aav,33,59000000000,20190630
aav,34,-50000000000,20190630
aav,36,-6600000000,20190630
aav,40,177000000000,20190630
aav,50,1460000000,20190630
aav,60,32000000000,20190630
aav,70,33500000000,20190630
aav,01,10500000000,20200630
aav,02,3780000000,20200630
aav,05,-1200000000,20200630
aav,06,2300000000,20200630
aav,08,15400000000,20200630
aav,09,-46000000000,20200630
aav,10,-7500000000,20200630
aav,11,16000000000,20200630
aav,12,1741324,20200630
aav,14,-2300000000,20200630
aav,15,-2800000000,20200630
aav,20,-28000000000,20200630
aav,27,1050000000,20200630
aav,30,1050000000,20200630
aav,40,8840000000,20200630
aav,50,-18000000000,20200630
aav,60,19800000000,20200630
aav,70,2140000000,20200630
aav,01,24900000000,20210630
aav,02,3860000000,20210630
aav,03,-6000000000,20210630
aav,04,122826,20210630
aav,05,-1300000000,20210630
aav,06,1840000000,20210630
aav,08,23300000000,20210630
aav,09,32200000000,20210630
aav,10,-1300000000,20210630
aav,11,-13000000000,20210630
aav,12,-290000000,20210630
aav,14,-1900000000,20210630
aav,15,-3100000000,20210630
aav,20,35600000000,20210630
aav,21,-8300000000,20210630
aav,22,100000000,20210630
aav,24,2180000000,20210630
aav,27,4690000000,20210630
aav,30,-1300000000,20210630
aav,33,63100000000,20210630
aav,34,-83000000000,20210630
aav,36,-2400000000,20210630
aav,40,-23000000000,20210630
aav,50,11600000000,20210630
aav,60,3020000000,20210630
aav,61,-122826,20210630
aav,70,14600000000,20210630
aav,01,10100000000,20220630
aav,02,5290000000,20220630
aav,03,1180000000,20220630
aav,05,-1000000000,20220630
aav,06,2470000000,20220630
aav,08,18000000000,20220630
aav,09,-84000000000,20220630
